text,label,group_id
хм проверь сообщение простыми словами,1,pos_cmd_text__21
хм сделай короче пожалуйста?,1,pos_dialog_control__02
ну эм надо купить молоко и хлеб,0,neg_statement_random__14
слушай выключи громкость,1,pos_cmd_media__02
поставь таймер на 5 минут.,1,pos_cmd_timer__05
ээ переведи этот текст официально,1,pos_cmd_text__07
так сколько будет 17 умножить на…,1,pos_q_info__25
слушай мм Дима что нового?,0,neg_smalltalk_to_person__14
почему какая погода завтра пожалуйста?,1,pos_mix__07
короче слушай прибавь плейлист,1,pos_cmd_media__17
еаках погода сейчас.,1,pos_q_weather__11
"мм ну саша, что нового",0,neg_smalltalk_to_person__24
хм ээ объясни как работает vad пожалуйста?,1,pos_help_tech__27
слушай короче включи громкость погромче,1,pos_cmd_media__10
выключи музыку на 30 процентов,1,pos_cmd_media__22
ээ Петя прибавь громкость,0,neg_cmd_to_person__22
"эм, эм я читал статью про нейросети",0,neg_statement_random__38
м оля закажи пиццу,0,neg_cmd_to_person__03
какая сколько времени,1,pos_mix__11
"мам, что нового",0,neg_smalltalk_to_person__00
сделай напоминание через час,1,pos_mix__15
эм отмени напоминьние на завтра утром пожалуйста,1,pos_cmd_timer__13
"мам, убавь громкость",0,neg_cmd_to_person__22
сократи этот текст официально,1,pos_cmd_text__21
ну сократи сообщение по дружески,1,pos_cmd_text__15
хм мне надо позвонить другу…,0,neg_statement_random__24
хм кажется начался дождь.,0,neg_statement_random__17
"короче, шеф, сбрось ссылку",0,neg_cmd_to_person__00
ээ останови напоминание на 1 час пожалйсаа,1,pos_cmd_timer__20
… радио пожалуйста,1,pos_cmd_media__26
эм Оля как дела,0,neg_smalltalk_to_person__06
короче у меня болит голова наверное,0,neg_statement_random__38
хм сколько сейчас времени пожалуйста,1,pos_q_info__16
"папа, посмотри что там пожалуйста",0,neg_cmd_to_person__20
слушай поставь трек на 30 процентов,1,pos_cmd_media__27
так у меня болит…,0,neg_statement_random__25
мм кажется начался дождь,0,neg_misc__26
ээ м в метр опять задержкс,0,neg_misc__15
"хм сергей, открой окно",0,neg_cmd_to_person__35
мм м исправь абзац простыми словами,1,pos_cmd_text__22
так как ластроть aec,1,pos_help_tech__12
ээ ясно,0,neg_misc__10
"ээ, пауза.",1,pos_dialog_control__02
… равтра пожалуйста,1,pos_q_weather__06
ну будет ли дождь завтра пожалуйста!,1,pos_q_weather__07
включи радио погромче,1,pos_cmd_media__21
перефразируй письмо коротко!,1,pos_cmd_text__14
хм сократи этот текст коротко,1,pos_cmd_text__23
"Надя, включи свет",0,neg_cmd_to_person__01
"э мм, я забл ключи дома",0,neg_misc__01
мм так папа как дела,0,neg_smalltalk_to_person__14
слушай хм отмена,1,pos_dialog_control__29
ээ нужно ли погоду в амстердаме,1,pos_mix__21
какая сколько будет 17 умножить на 23 пожалуйста!,1,pos_mix__10
сравни курс евро к доллару,1,pos_mix__06
"мм, отмена!",1,pos_dialog_control__13
"хм хм, выключи трек для работы пожалуйста.",1,pos_cmd_media__18
ну перефрззируй этот текст официально!,1,pos_cmd_text__25
"м, слушай я давно не был в отпуске.",0,neg_misc__22
поставь музыку погромче,1,pos_cmd_media__09
… проверь описание коротко,1,pos_cmd_text__20
короче ээ переведи описание пожалуйста,1,pos_cmd_text__05
так маша объясни домашку,0,neg_cmd_to_person__30
повтори ещё раз пожалуйста.,1,pos_dialog_control__02
ээ выключи громкость,1,pos_cmd_media__11
поставь будильник на 10 минут,1,pos_cmd_timer__29
… убавь трек для работы,1,pos_cmd_media__19
"ээ сестра, ты скоро?",0,neg_smalltalk_to_person__06
коллега напомни мне завтра,0,neg_cmd_to_person__39
"петя,…",0,neg_smalltalk_to_person__34
слушай слушай какой прогноз на выходные,1,pos_q_weather__17
да.,0,neg_misc__04
ну у меня закончиля…,0,neg_misc__11
эм давай подробее пжалуйста,1,pos_dialog_control__20
можешь погоду в амстердаме,1,pos_mix__08
сергей сбрось ссылку пожалуйста,0,neg_cmd_to_person__38
"мм мама,…",0,neg_smalltalk_to_person__10
хм оля помоги с кодом пожалуйста,0,neg_cmd_to_person__10
когда сколько времени,1,pos_mix__29
м короче я не уверен что это хорошая идея,0,neg_statement_random__23
какой курс евро к доллару…,1,pos_q_info__23
"мам, мыключи свет",0,neg_cmd_to_person__34
"хм так, какой прогноз на выходные",1,pos_q_weather__06
проверь соощение,1,pos_cmd_text__26
хм так Катя выключи свет пожалуйста,0,neg_cmd_to_person__17
"мм, постьвь музыку а 30 процентов?",1,pos_cmd_media__06
хм саша выключи свет пожалуйста,0,neg_cmd_to_person__33
так хм шеф как дела,0,neg_smalltalk_to_person__36
мм в холодильнике…,0,neg_misc__31
пап ты скоро,0,neg_smalltalk_to_person__19
что нового в новостях пожалуйста?,1,pos_q_info__09
Надя объясни домашку пожалуйста,0,neg_cmd_to_person__19
убавь плейлист погромче пожалуйста,1,pos_cmd_media__11
хм короче я люблю эту песню,0,neg_misc__03
ээ я давно не был в отпуске,0,neg_misc__10
Ваня поставь таймер,0,neg_cmd_to_person__09
м короче оттанови напоминание на 10 минут ожалуйста,1,pos_cmd_timer__20
